;total_general;;;;BE _belgium;;;;BR_brazil;;;;CN_china;;;;;DE_germany;;;;ES_spain;;;;FR_france;;;;GB_great britain;;;;IN_india;;;;IT_italy;;;;NL_netherland;;;;RU_russia;;;;US_united states;;;;XX_others;;
;11;11;11;11;BE;BE;BE;BE;BR;BR;BR;BR;CN;CN;CN;CN;DE;DE;DE;DE;ES;ES;ES;ES;FR;FR;FR;FR;GB;GB;GB;GB;IN;IN;IN;IN;IT;IT;IT;IT;NL;NL;NL;NL;RU;RU;RU;RU;US;US;US;US;XX;XX;XX;XX
date;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason
2016-03;231554;88777;107973;34804;52317;18636;23828;9853;1414;925;366;123;4796;3279;1154;363;16436;5600;8536;2300;13096;6639;4915;1542;30329;13257;11677;5395;18854;6446;10015;2393;1034;468;449;117;9297;3656;4233;1408;12276;4194;6241;1841;1640;715;673;252;11282;3639;6178;1465;58783;21323;29708;7752
2016-04;214752;82485;100530;31737;49325;16574;23610;9141;1854;1202;495;157;6768;4349;1555;864;13067;4106;7041;1920;11123;5734;4215;1174;29128;12311;11581;5236;16792;5824;8817;2151;1374;672;555;147;7864;2945;3712;1207;10541;3747;5194;1600;1915;851;807;257;9403;3347;4962;1094;55598;20823;27986;6789
2016-05;246476;100539;111897;34040;56558;20079;26714;9765;2155;1357;633;165;6295;4383;1329;583;17847;6774;8303;2770;12654;7605;3928;1121;32117;14290;12831;4996;17560;5880;9611;2069;2692;1749;763;180;7695;2740;3866;1089;11967;4680;5648;1639;1904;936;743;225;13141;4670;7068;1403;63891;25396;30460;8035
2016-06;256650;97531;122852;36267;54133;16280;28583;9270;2023;1357;515;151;6399;4471;1336;592;18173;5734;9459;2980;14151;7966;4640;1545;27319;10517;11493;5309;21465;7338;11657;2470;2086;1108;786;192;9239;3037;4839;1363;11835;4020;6186;1629;2471;1212;975;284;16085;6555;7953;1577;71271;27936;34430;8905
2016-07;237792;122074;86886;28832;54619;23893;23329;7397;2376;1693;474;209;8693;6398;1710;585;15285;7662;5907;1716;12790;8422;3004;1364;24861;12563;8372;3926;19200;9454;7366;2380;2258;1411;627;220;5535;2535;2087;913;10655;5404;3870;1381;1614;914;545;155;15453;7398;6565;1490;64453;34327;23030;7096
2016-08;215168;116747;73978;24443;47294;21042;19951;6301;1989;1492;358;139;7942;5393;1767;782;14409;8053;5095;1261;14478;10162;2779;1537;27824;15683;8620;3521;19684;10328;7104;2252;1172;727;335;110;6391;3828;1766;797;9561;4814;3584;1163;2388;1338;810;240;11446;5007;5126;1313;50590;28880;16683;5027
2016-09;268011;107601;123300;37110;61088;21328;30772;8988;2428;1750;502;176;6274;3772;1887;615;20737;7850;10312;2575;15351;8908;4520;1923;32389;12908;13487;5994;19603;7538;9914;2151;1962;1274;525;163;8648;3003;4098;1547;11928;4243;5854;1831;2154;1011;863;280;14599;5450;7558;1591;70850;28566;33008;9276
2016-10;296537;121546;133791;41200;69453;25084;32889;11480;2990;2061;690;239;6500;3680;1956;864;21150;8261;10313;2576;15999;8994;4830;2175;41839;19229;16334;6276;20047;7697;10269;2081;1805;1049;582;174;11237;4558;5098;1581;15452;6196;7232;2024;2379;1303;800;276;14228;4915;7067;2246;73458;28519;35731;9208
2016-11;284873;111522;133098;40253;68376;24832;32610;10934;2292;1656;485;151;4353;2312;1284;757;20873;7034;11176;2663;14564;7777;4847;1940;37585;17318;14582;5685;20581;7642;10651;2288;1408;756;466;186;12226;5025;5573;1628;14734;5753;6768;2213;2288;1135;885;268;12237;4377;6077;1783;73356;25905;37694;9757
2016-12;295029;144199;113995;36835;73875;31675;30917;11283;2354;1749;460;145;4503;2986;1296;221;16813;7515;7397;1901;20781;14074;4800;1907;45359;24206;14996;6157;23458;11897;9605;1956;1054;623;348;83;12804;6933;4161;1710;14521;7038;5753;1730;2582;1428;904;250;12858;4859;6029;1970;64067;29216;27329;7522
